Timestamp,Age,Gender,Occupation ,Which platform did you use for your recent purchase?  ,Device used during purchase  ,How often do you shop Online ?,Think about your most recent online purchase. Was it planned in advance?  ,  Did you originally intend to buy this product before opening the app/website?  ,How much time did you spend browsing before purchasing?  ,I often buy things when I am feeling stressed.  ,I shop online to improve my mood.  , I find it hard to resist attractive offers.  ,I experience FOMO (Fear of Missing Out) during flash sales.  ,I sometimes buy products without thinking about future need.  ,I feel excited while making spontaneous (Random)  purchases. ,I regret some purchases later. ,I consider myself emotionally influenced while shopping. ,Was the product on discount? ,Did you see a “Limited Time Offer” message? ,Did an influencer/advertisement influence this purchase? ,Did you receive a push notification before buying? ,Discount percentage (if applicable) ,Did peer (Known Person) recommendation influence your purchase?  ,Payment Method Used (Mostly),Do you usually compare prices before purchasing?  ,How often do you add items to cart but do not purchase?  ,"On average, how many impulse (Actual) purchases do you make per month?  ",I carefully plan my purchases in advance.  ,I stick to my budget while shopping. ,I am comfortable spending money without long consideration. ,I review my expenses regularly. ,Would you classify your recent purchase as: 
2/17/2026 20:25:37,21 - 24,Male,Student,Flipkart,Mobile Browser,2 - 3 times a month,Yes,Yes,Less than 5 minutes,3,4,4,4,4,5,5,5,Yes,No,Yes,Yes,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,1 - 2,4,4,4,4,Partially Planned
2/17/2026 20:40:52,21 - 24,Male,Student,Amazon,Mobile App,Rarely,Yes,Yes,Less than 5 minutes,1,1,2,2,1,1,1,2,No,No,No,No,No Discount,No,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Rarely,0,4,4,2,3,Completely Planned
2/17/2026 20:47:42,21 - 24,Female,Student,Amazon,Mobile App,Rarely,No,Yes,15 - 30 minutes,3,2,1,1,1,1,3,4,No,No,No,No,No Discount,No,"UPI (Gpay, Phonepe, Paytm)",Always,Always,1 - 2,3,5,1,5,Completely Planned
2/17/2026 21:01:44,21 - 24,Male,Student,Amazon,Mobile App,Rarely,Yes,Yes,15 - 30 minutes,1,1,3,2,2,2,2,2,Yes,No,No,Yes,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,0,4,4,2,4,Completely Planned
2/17/2026 21:55:41,21 - 24,Male,Working Professional,Ajio,Mobile App,2 - 3 times a month,Yes,Yes,15 - 30 minutes,2,3,4,2,3,3,2,2,Yes,Yes,Yes,Yes,More than 50%,No,"UPI (Gpay, Phonepe, Paytm)",Always,Always,1 - 2,2,4,3,2,Completely Planned
2/17/2026 21:57:16,21 - 24,Male,Working Professional,Flipkart,Mobile App,2 - 3 times a month,Yes,Yes,5 - 15 minutes,3,2,5,2,1,1,1,3,Yes,No,Yes,No,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,3 - 5,5,5,2,5,Completely Planned
2/17/2026 21:58:54,21 - 24,Female,Student,Amazon,Mobile App,Once a month,Yes,Yes,5 - 15 minutes,1,1,5,5,1,5,3,5,No,No,No,Yes,No Discount,No,"UPI (Gpay, Phonepe, Paytm)",Always,Always,1 - 2,1,3,1,4,Completely Planned
2/17/2026 22:03:09,25 - 29,Male,Student,Amazon,Mobile App,Once a month,Yes,Yes,5 - 15 minutes,4,5,5,5,5,5,5,4,Yes,Yes,Yes,Yes,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,1 - 2,4,4,4,4,Partially Planned
2/17/2026 22:08:38,21 - 24,Male,Student,Amazon,Mobile App,Multiple times in a month,Yes,Yes,15 - 30 minutes,2,1,3,1,1,1,2,1,Yes,No,No,No,0 - 10 %,No,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,1 - 2,4,4,1,4,Completely Planned
2/17/2026 22:21:57,21 - 24,Female,Working Professional,Amazon,Mobile App,Once a month,No,Yes,5 - 15 minutes,1,1,1,3,2,5,4,3,No,Yes,No,Yes,No Discount,No,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Sometimes,3 - 5,3,3,3,3,Partially Planned
2/17/2026 22:31:51,21 - 24,Male,Working Professional,Flipkart,Mobile App,2 - 3 times a month,Yes,Yes,15 - 30 minutes,3,4,3,5,4,3,4,2,Yes,Yes,No,No,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,1 - 2,4,4,2,3,Completely Planned
2/18/2026 0:26:43,21 - 24,Male,Student,Myntra,Mobile App,2 - 3 times a month,Yes,Yes,15 - 30 minutes,3,3,3,3,3,3,3,3,Yes,Yes,Yes,Yes,0 - 10 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Sometimes,3 - 5,3,2,2,3,Completely Planned
2/18/2026 3:09:55,25 - 29,Female,Student,"blinkit, zepto",Mobile App,Once a month,No,No,5 - 15 minutes,1,1,1,1,3,3,5,1,Yes,Yes,Yes,No,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,1 - 2,3,4,2,2,Completely Unplanned
2/18/2026 8:44:15,21 - 24,Male,Working Professional,Amazon,Mobile App,Rarely,Yes,Yes,more than 30 minutes,1,1,1,4,2,4,3,3,No,No,No,No,10 - 30 %,No,Buy Now Pay Later,Always,Always,1 - 2,4,1,2,4,Completely Planned
2/19/2026 18:39:51,21 - 24,Male,Working Professional,Flipkart,Mobile App,Rarely,No,Yes,15 - 30 minutes,1,1,3,2,3,3,4,3,Yes,Yes,No,No,0 - 10 %,No,Cash on Delivery,Always,Sometimes,1 - 2,3,3,2,4,Partially Planned
2/19/2026 20:52:21,21 - 24,Female,Student,Meesho,Mobile App,Rarely,Yes,No,15 - 30 minutes,2,2,4,4,3,4,2,4,No,Yes,No,Yes,0 - 10 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,1 - 2,3,3,2,3,Partially Planned
3/12/2026 19:20:13,25 - 29,Female,Student,Flipkart,Laptop / Desktop,Multiple times in a month,No,No,5 - 15 minutes,2,1,4,1,5,5,2,4,No,Yes,Yes,No,No Discount,No,Debit Card,Sometimes,Never,3 - 5,3,2,2,3,Completely Planned
3/12/2026 19:25:41,30 - 34,Male,Self Employed,Myntra,Mobile App,Weekly,No,No,15 - 30 minutes,2,3,4,3,2,3,4,3,No,No,No,No,30 - 50 %,Yes,Cash on Delivery,Always,Rarely,1 - 2,2,2,4,3,Partially Planned
3/12/2026 19:27:28,21 - 24,Male,Student,Ajio,Mobile App,Weekly,No,No,Less than 5 minutes,4,3,5,5,5,5,3,4,Yes,Yes,No,Yes,More than 50%,No,"UPI (Gpay, Phonepe, Paytm)",Never,Never,More than 5,2,3,3,1,Completely Unplanned
3/12/2026 19:29:16,30 - 34,Male,Working Professional,Amazon,Mobile Browser,Rarely,Yes,Yes,more than 30 minutes,3,1,2,2,2,3,1,2,No,Yes,No,No,No Discount,Yes,Debit Card,Always,Sometimes,1 - 2,3,4,2,5,Completely Planned
3/12/2026 19:32:03,30 - 34,Female,Working Professional,Amazon,Laptop / Desktop,Rarely,Yes,Yes,more than 30 minutes,1,3,3,1,1,3,1,3,No,No,Yes,Yes,0 - 10 %,No,Debit Card,Sometimes,Sometimes,0,5,5,3,5,Partially Planned
3/12/2026 19:33:47,21 - 24,Male,Self Employed,Myntra,Mobile App,Weekly,Yes,Yes,5 - 15 minutes,4,4,3,3,2,3,2,3,No,Yes,Yes,Yes,30 - 50 %,No,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Rarely,3 - 5,2,2,2,4,Partially Planned
3/12/2026 19:35:31,21 - 24,Female,Working Professional,Meesho,Mobile App,Weekly,No,No,Less than 5 minutes,3,5,5,5,5,4,4,3,Yes,Yes,Yes,Yes,More than 50%,No,Cash on Delivery,Rarely,Rarely,More than 5,3,2,4,1,Partially Planned
3/12/2026 19:37:15,21 - 24,Female,Self Employed,Amazon,Mobile Browser,Once a month,No,Yes,15 - 30 minutes,2,4,3,4,4,2,3,4,Yes,No,Yes,No,0 - 10 %,Yes,Debit Card,Always,Always,3 - 5,4,4,4,2,Completely Unplanned
3/12/2026 19:39:06,25 - 29,Female,Working Professional,Myntra,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,5,5,4,5,5,3,4,Yes,No,Yes,No,More than 50%,No,Cash on Delivery,Never,Rarely,3 - 5,1,3,4,2,Partially Planned
3/12/2026 19:40:57,25 - 29,Female,Working Professional,Amazon,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,2,2,1,2,1,3,1,1,Yes,No,No,Yes,0 - 10 %,Yes,Credit Card,Sometimes,Always,1 - 2,3,4,3,4,Partially Planned
3/12/2026 19:42:50,25 - 29,Male,Self Employed,Myntra,Mobile Browser,2 - 3 times a month,Yes,No,5 - 15 minutes,4,2,3,2,4,2,4,2,Yes,Yes,No,No,30 - 50 %,No,Debit Card,Always,Rarely,3 - 5,3,2,4,3,Partially Planned
3/12/2026 19:44:52,35 +,Female,Self Employed,Amazon,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,3,3,3,1,1,3,3,1,No,No,Yes,No,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Sometimes,1 - 2,3,5,3,5,Completely Planned
3/12/2026 19:46:45,25 - 29,Male,Self Employed,Flipkart,Mobile App,Weekly,Yes,Yes,5 - 15 minutes,3,4,4,2,4,3,2,4,No,No,No,Yes,30 - 50 %,Yes,Credit Card,Always,Sometimes,3 - 5,4,3,2,3,Partially Planned
3/12/2026 19:48:36,21 - 24,Male,Student,Amazon,Mobile App,Weekly,No,No,Less than 5 minutes,4,4,4,5,5,5,3,5,Yes,No,Yes,Yes,10 - 30 %,No,Buy Now Pay Later,Rarely,Never,More than 5,1,1,3,1,Completely Unplanned
3/12/2026 19:50:24,21 - 24,Male,Self Employed,Myntra,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,4,2,3,2,4,4,3,2,No,Yes,Yes,No,0 - 10 %,No,Debit Card,Always,Rarely,3 - 5,3,3,2,2,Completely Planned
3/12/2026 19:52:07,25 - 29,Male,Student,Meesho,Mobile App,Once a month,Yes,No,15 - 30 minutes,4,2,3,3,4,3,2,3,Yes,Yes,Yes,Yes,0 - 10 %,Yes,Credit Card,Sometimes,Rarely,1 - 2,2,3,2,4,Partially Planned
3/12/2026 19:53:54,16 - 20,Male,Student,Meesho,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,3,5,5,4,5,3,3,Yes,No,Yes,Yes,30 - 50 %,Yes,Buy Now Pay Later,Never,Never,More than 5,3,3,4,2,Partially Planned
3/12/2026 19:55:44,21 - 24,Male,Student,Flipkart,Mobile Browser,2 - 3 times a month,Yes,Yes,5 - 15 minutes,2,2,4,3,4,2,3,2,Yes,Yes,Yes,No,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Rarely,Always,1 - 2,3,3,4,4,Completely Unplanned
3/12/2026 19:57:31,30 - 34,Male,Self Employed,Amazon,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,1,1,1,1,2,2,3,3,Yes,Yes,No,No,No Discount,Yes,"UPI (Gpay, Phonepe, Paytm)",Always,Always,0,4,5,1,4,Completely Planned
3/12/2026 19:59:22,25 - 29,Female,Self Employed,Amazon,Mobile App,2 - 3 times a month,No,Yes,15 - 30 minutes,2,3,4,3,3,4,4,2,Yes,No,Yes,Yes,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Rarely,3 - 5,3,2,2,2,Partially Planned
3/12/2026 20:01:13,25 - 29,Female,Student,Flipkart,Mobile App,Weekly,Yes,Yes,5 - 15 minutes,2,3,2,4,2,4,2,2,Yes,No,No,No,10 - 30 %,No,Credit Card,Always,Rarely,1 - 2,4,2,4,2,Completely Unplanned
